"query","clicks","impressions","ctr","position","position_band","category","cluster","commercial_intent","current_or_probable_url","url_confidence","opportunity_score","recommended_action","priority"
"como ter mais armazenamento no iphone","0","1274","0%","9.47","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.1036","MONITOR","P3"
"fotografia para eventos corporativos","1","32","3.12%","6.81","7-10","DINHEIRO","eventos","1","/eventos-corporativos","URL_PROVAVEL","0.1035","CONTENT+INTERNAL LINK","P3"
"como deve ser a foto do linkedin","3","63","4.76%","2.79","1-3","DINHEIRO","linkedin","1","/foto-profissional-para-linkedin","URL_PROVAVEL","0.1034","MONITOR","P3"
"app para editar vídeos grátis","22","3662","0.6%","7.29","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.103","MONITOR","P3"
"fotos de são paulo","0","433","0%","1.72","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.1026","MONITOR","P3"
"como limpar o icloud do iphone","2","1469","0.14%","7.52","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.1024","MONITOR","P3"
"foto profissonal","1","52","1.92%","3.4","4-6","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.102","MONITOR","P3"
"png ou jpg tem mais qualidade","0","1108","0%","5.63","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.1016","MONITOR","P3"
"aplicativo de editar fotos","0","1092","0%","8.51","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.1013","MONITOR","P3"
"sem foto no perfil","0","398","0%","1.5","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.1012","MONITOR","P3"
"app para criar videos","0","1033","0%","8.89","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.1005","MONITOR","P3"
"jpeg ou png","0","993","0%","4.14","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.1","MONITOR","P3"
"aplicativo para editar vídeos","3","1224","0.25%","5.7","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0998","MONITOR","P3"
"o que é png","0","982","0%","9.81","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0998","MONITOR","P3"
"ensaio fotográfico perto de mim","1","2","0.5%","6","4-6","DINHEIRO","outros","1","/","URL_PROVAVEL","0.0995","CTR+TITLE/META","P3"
"melhor horario para postar no domingo","0","954","0%","10.34","11-15","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0994","MONITOR","P3"
"poses para fotos de perfil profissional","1","33","3.03%","2.15","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.0991","MONITOR","P3"
"fotos de bebidas para perfil","2","405","0.49%","1.3","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0987","MONITOR","P3"
"fotos profissionais medico","2","46","4.35%","2.28","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.0987","MONITOR","P3"
"como limpar icloud","1","1048","0.1%","7.5","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0985","MONITOR","P3"
"aplicativo de vídeos","3","1282","0.23%","6.62","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0984","MONITOR","P3"
"o melhor editor de vídeo para celular","1","47","2.13%","8.11","7-10","DINHEIRO","video","0.5","/videos","URL_PROVAVEL","0.0984","CTR+TITLE/META","P3"
"app editor de video","3","1269","0.24%","7.53","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.098","MONITOR","P3"
"foto do perfil sem foto","1","361","0.28%","1","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.098","MONITOR","P3"
"formato png","1","987","0.1%","8.2","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0977","MONITOR","P3"
"aplicativo para editar","0","814","0%","6.34","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0971","MONITOR","P3"
"como limpar o icloud","4","1298","0.31%","7.24","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0967","MONITOR","P3"
"business casual masculino","0","790","0%","4.14","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0967","MONITOR","P3"
"como esvaziar o icloud do iphone","0","763","0%","6.86","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0962","MONITOR","P3"
"app de videos","2","1010","0.2%","7.45","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0958","MONITOR","P3"
"qual o melhor aplicativo para editar vídeos","0","727","0%","4.43","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0955","MONITOR","P3"
"png ou jpeg","0","726","0%","4.55","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0954","MONITOR","P3"
"fotos de empresa","1","311","0.32%","1.13","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0953","MONITOR","P3"
"formato jpg","2","970","0.21%","7.96","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.095","MONITOR","P3"
"dress code casual chic masculino","1","132","0.76%","2.68","1-3","APOIO","outros","0.6","/blog","URL_PROVAVEL","0.095","MONITOR","P3"
"aplicativo de edição de video","7","1494","0.47%","6.55","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0948","MONITOR","P3"
"como usar o icloud para liberar espaço no iphone","0","693","0%","10.18","11-15","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0948","MONITOR","P3"
"aplicativo para fazer vídeos","2","948","0.21%","7.35","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0947","MONITOR","P3"
"aplicativo de edição","4","1170","0.34%","7.22","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0946","MONITOR","P3"
"imagem de culinaria","1","30","3.33%","1","1-3","DINHEIRO","gastronomia","1","/fotografo-corporativo/fotografia-gastronomica","URL_PROVAVEL","0.0946","MONITOR","P3"
"aplicativos para editar fotos","0","675","0%","27.23","21-50","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.0944","CONTENT+CASE","P3"
"traje passeio masculino","0","660","0%","4.82","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0941","MONITOR","P3"
"aplicativo de video","5","1236","0.4%","7.53","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.094","MONITOR","P3"
"vestuario masculino","0","655","0%","5.96","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.094","MONITOR","P3"
"melhor aplicativo para editar videos","4","930","0.43%","4.25","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0937","MONITOR","P3"
"fotos profissionais para perfil feminino","1","283","0.35%","1.34","1-3","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.0936","MONITOR","P3"
"melhores apps para edicao de videos","1","45","2.22%","3.71","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.0935","MONITOR","P3"
"foto de perfil sem rosto","1","274","0.36%","1.3","1-3","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.093","MONITOR","P3"
"pose para foto empresarial","1","29","3.45%","1","1-3","DINHEIRO","outros","1","/","URL_PROVAVEL","0.0929","MONITOR","P3"
"fundo corporativo para fotos","1","29","3.45%","1.52","1-3","DINHEIRO","outros","1","/","URL_PROVAVEL","0.0929","MONITOR","P3"
"traje dress code masculino","4","182","2.2%","1.98","1-3","APOIO","outros","0.6","/blog","URL_PROVAVEL","0.0927","MONITOR","P3"
"ensaio fotografico advogado","3","85","3.53%","7.51","7-10","DINHEIRO","advocacia","1","/fotografia-para-advogados","URL_PROVAVEL","0.0927","CONTENT+INTERNAL LINK","P3"
"app para fazer video","1","730","0.14%","7.81","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0926","MONITOR","P3"
"como liberar espaço no icloud de graça","2","848","0.24%","7.74","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0925","MONITOR","P3"
"app de editar video","7","1310","0.53%","6.29","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0917","MONITOR","P3"
"formato de imagem","0","560","0%","10.2","11-15","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0917","MONITOR","P3"
"app video","3","903","0.33%","6.98","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0914","MONITOR","P3"
"icloud drive ocupando espaço no iphone","1","678","0.15%","9.66","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0913","MONITOR","P3"
"aplicativo para videos","1","670","0.15%","7.43","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0911","MONITOR","P3"
"fotos para advogados","4","63","6.35%","2.16","1-3","DINHEIRO","advocacia","1","/fotografia-para-advogados","URL_PROVAVEL","0.091","MONITOR","P3"
"aplicativo para fazer video","0","534","0%","8","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.091","MONITOR","P3"
"aplicativo para criar videos","3","889","0.34%","9.34","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0909","MONITOR","P3"
"app de fazer video","2","778","0.26%","7.33","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0909","MONITOR","P3"
"lugar de fotos","1","43","2.33%","3.3","4-6","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0907","MONITOR","P3"
"cores intermediárias","0","522","0%","8.92","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0907","MONITOR","P3"
"melhores aplicativos para edição de vídeo","2","268","0.75%","2.93","1-3","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.0906","MONITOR","P3"
"formato jpeg","0","519","0%","10.23","11-15","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0906","MONITOR","P3"
"foto de busto exemplo","1","239","0.42%","1.21","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0905","MONITOR","P3"
"comprei memoria no icloud e a memoria continua cheia","1","639","0.16%","9.81","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0903","MONITOR","P3"
"app para videos","1","635","0.16%","6.18","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0902","MONITOR","P3"
"melhores apps para editar vídeos","1","28","3.57%","4.75","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.09","CTR+TITLE/META","P3"
"aplicativo para montar video","0","496","0%","7.64","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0899","MONITOR","P3"
"como limpar icloud do iphone","0","480","0%","7.31","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0895","MONITOR","P3"
"fotos profissionais mulher","1","225","0.44%","1.1","1-3","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.0894","MONITOR","P3"
"impressas","0","478","0%","7.48","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0894","MONITOR","P3"
"aplicativos de fotografia","0","478","0%","39.67","21-50","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0894","MONITOR","P3"
"app para editar vídeos","1","541","0.18%","5.65","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0891","MONITOR","P3"
"o que é jpeg","0","467","0%","9.98","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0891","MONITOR","P3"
"imagem jpeg","0","464","0%","9.2","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.089","MONITOR","P3"
"aplicativo de vídeo grátis","4","901","0.44%","8.13","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0889","MONITOR","P3"
"icloud cheio","0","463","0%","6.29","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0889","MONITOR","P3"
"o que significa jpg","0","453","0%","10","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0886","MONITOR","P3"
"dress code preto masculino","1","38","2.63%","6.18","7-10","APOIO","outros","0.6","/blog","URL_PROVAVEL","0.0882","CONTENT+INTERNAL LINK","P3"
"icloud armazenamento","1","553","0.18%","9.2","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0878","MONITOR","P3"
"aplicativo para editar videos gratis","1","551","0.18%","7.65","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0878","MONITOR","P3"
"aplicativos de edição","1","495","0.2%","5.76","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0877","MONITOR","P3"
"foto mulher profissional","1","26","3.85%","1","1-3","DINHEIRO","outros","1","/","URL_PROVAVEL","0.0876","MONITOR","P3"
"foto profissional empresarial","1","26","3.85%","2","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.0876","MONITOR","P3"
"aplicativo para edição de vídeo","0","414","0%","7.46","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0873","MONITOR","P3"
"aplicativo que edita vídeo","0","409","0%","7.16","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0871","MONITOR","P3"
"limpar icloud","0","404","0%","7.69","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.087","MONITOR","P3"
"fotografia de alimentos","0","402","0%","24.7","21-50","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0869","CONTENT+CASE","P3"
"app para editar videos","10","970","1.03%","5.13","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0868","MONITOR","P3"
"aplicativo de edição de vídeo","1","520","0.19%","7.9","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0868","MONITOR","P3"
"aplicativos para editar","0","398","0%","4.78","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0868","MONITOR","P3"
"fotografo para ensaio profissional","1","18","5.56%","5.33","4-6","DINHEIRO","outros","1","/","URL_PROVAVEL","0.0867","CONTENT+INTERNAL LINK","P3"
"melhores aplicativos para edição de video","1","27","3.7%","5.22","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.0865","CTR+TITLE/META","P3"
"melhor app para editar videos","16","1234","1.3%","4.8","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0864","MONITOR","P3"
"app que edita videos","0","386","0%","6.77","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0863","MONITOR","P3"
"app de edição","2","615","0.33%","6.82","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0862","MONITOR","P3"
"como editar fotos profissionais","1","51","1.96%","7.59","7-10","AUTORIDADE","edicao-apps","0.4","/blog","URL_PROVAVEL","0.0861","INTERNAL LINK (blog->money)","P3"
"aplicativo para edição de video","1","499","0.2%","7.25","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.086","MONITOR","P3"
"aplicativo para editar videos","1","446","0.22%","6","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.086","MONITOR","P3"
"instituto rauen","0","378","0%","8.9","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.086","MONITOR","P3"
"app edicao video","1","495","0.2%","6.32","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0859","MONITOR","P3"
"aplicativo para fazer montagem de vídeo","0","376","0%","9.25","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0859","MONITOR","P3"
"aplicativo de editar vídeos","1","442","0.23%","5.31","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0857","MONITOR","P3"
"qual o melhor app para editar videos","1","428","0.23%","4.2","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0853","MONITOR","P3"
"melhores app para editar vídeos grátis","10","912","1.1%","4.76","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0852","MONITOR","P3"
"aplicativo editor de video","5","856","0.58%","7.43","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0852","MONITOR","P3"
"qual o melhor aplicativo para editar vídeo","1","425","0.24%","4.26","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0851","MONITOR","P3"
"looks para fotos profissionais","2","202","0.99%","2.35","1-3","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.0849","MONITOR","P3"
"app para fazer videos","2","569","0.35%","8.12","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0848","MONITOR","P3"
"qual melhor aplicativo para editar videos","3","531","0.56%","4.22","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0846","MONITOR","P3"
"psicólogia das cores","0","517","0%","2.81","1-3","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.0845","INTERNAL LINK (blog->money)","P3"
"aplicativo para fazer videos com fotos","1","455","0.22%","8.64","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0844","MONITOR","P3"
"dress code homem","1","85","1.18%","2.33","1-3","APOIO","outros","0.6","/blog","URL_PROVAVEL","0.0844","MONITOR","P3"
"app de videos gratis","1","454","0.22%","8.23","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0843","MONITOR","P3"
"aplicativo de editar","3","639","0.47%","6.68","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0838","MONITOR","P3"
"app de edicao","3","512","0.59%","5.78","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0837","MONITOR","P3"
"icloud cheio o que fazer","5","804","0.62%","6.27","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0836","MONITOR","P3"
"app para edição de videos","2","445","0.45%","5.71","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0834","MONITOR","P3"
"qual melhor app para editar videos","5","607","0.82%","4.43","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0833","MONITOR","P3"
"app de edicao de videos","7","941","0.74%","6.43","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0829","MONITOR","P3"
"app para montar videos","1","420","0.24%","6.82","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0829","MONITOR","P3"
"apps video","1","5","0.2%","6.2","7-10","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.0827","CTR+TITLE/META","P3"
"melhor horario pra postar foto no domingo","1","41","2.44%","6.76","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0826","CONTENT+INTERNAL LINK","P3"
"poses para fotos profissionais","12","778","1.54%","2.7","1-3","AUTORIDADE","foto-profissional","0.4","/foto-profissional","URL_PROVAVEL","0.0823","INTERNAL LINK (blog->money)","P3"
"aplicativo editar video","1","402","0.25%","6.38","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0821","MONITOR","P3"
"melhor aplicativo de edição","1","354","0.28%","5.76","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0821","MONITOR","P3"
"fotografia para redes sociais","5","99","5.05%","5.65","4-6","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.082","CONTENT+INTERNAL LINK","P3"
"aplicativo de videos","3","585","0.51%","7.48","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0819","MONITOR","P3"
"amarelo psicologia das cores","0","427","0%","1.58","1-3","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.0819","INTERNAL LINK (blog->money)","P3"
"imagem de fundo para foto profissional","1","23","4.35%","1.13","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.0815","MONITOR","P3"
"food styling","8","699","1.14%","4.71","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0814","MONITOR","P3"
"qual é o melhor aplicativo para editar vídeos","3","447","0.67%","4.23","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.081","MONITOR","P3"
"fotos femininas profissionais","1","144","0.69%","1.29","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0809","MONITOR","P3"
"look para fotos profissionais","1","142","0.7%","2.46","1-3","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.0806","MONITOR","P3"
"foto perfil executivo","1","10","0.1%","2.2","1-3","DINHEIRO","outros","1","/","URL_PROVAVEL","0.0806","MONITOR","P3"
"app videos","3","551","0.54%","6.9","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0805","MONITOR","P3"
"aplicativo de edição de vídeo grátis","1","368","0.27%","8.7","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0805","MONITOR","P3"
"reposicionamento","2","2938","0.07%","3.48","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0803","MONITOR","P3"
"linguagem corporal casal fotos","2","8","0.25%","8","7-10","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.0802","INTERNAL LINK (blog->money)","P3"
"app editar video","6","577","1.04%","4.99","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0801","MONITOR","P3"
"fundos para fotos profissionais","4","489","0.82%","2.49","1-3","AUTORIDADE","foto-profissional","0.4","/foto-profissional","URL_PROVAVEL","0.0799","INTERNAL LINK (blog->money)","P3"
"app para editar vídeo","2","448","0.45%","6.42","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0796","MONITOR","P3"
"aplicativo video","2","442","0.45%","7.65","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0794","MONITOR","P3"
"aplicativo para editar vídeo grátis","3","527","0.57%","7.29","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0793","MONITOR","P3"
"icloud cheio como esvaziar","1","343","0.29%","6.71","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0792","MONITOR","P3"
"fotos de clínicas","1","22","4.55%","1","1-3","DINHEIRO","saude","1","/fotos-profissionais-medicos","URL_PROVAVEL","0.0792","MONITOR","P3"
"como liberar espaco no icloud","3","518","0.58%","7.17","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0789","MONITOR","P3"
"fundo para fotos profissionais","2","404","0.5%","2.55","1-3","AUTORIDADE","foto-profissional","0.4","/foto-profissional","URL_PROVAVEL","0.0789","INTERNAL LINK (blog->money)","P3"
"app edição de video","2","430","0.47%","6.9","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0787","MONITOR","P3"
"foto sem rosto para perfil","1","127","0.79%","1","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0784","MONITOR","P3"
"psicologia das cores laranja","1","356","0.28%","1.53","1-3","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.0782","INTERNAL LINK (blog->money)","P3"
"aplicativo para fazer videos","1","323","0.31%","8.28","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.078","MONITOR","P3"
"aplicativo fazer video","1","320","0.31%","7.78","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0778","MONITOR","P3"
"melhor aplicativo para editar vídeos","1","274","0.36%","4.5","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0777","MONITOR","P3"
"aplicativo para criar vídeos","2","400","0.5%","8.91","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0772","MONITOR","P3"
"melhor app de edição de video","2","322","0.62%","4.9","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0772","MONITOR","P3"
"app para editar","2","321","0.62%","5.25","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0772","MONITOR","P3"
"ativa log","1","308","0.32%","9.36","7-10","INFORMATIVA","logistica","0.15","/fotografo-corporativo/fotografia-de-logistica","URL_PROVAVEL","0.0771","MONITOR","P3"
"armazenamento icloud cheio","1","264","0.38%","5.59","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.077","MONITOR","P3"
"aplicativo de editar video","1","307","0.33%","6.38","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0769","MONITOR","P3"
"app para editar vídeo grátis","2","393","0.51%","7.12","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0768","MONITOR","P3"
"fotos de perfil de linkedin","1","21","4.76%","2.5","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.0768","MONITOR","P3"
"capa de perfil","2","390","0.51%","9.32","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0767","MONITOR","P3"
"app de vídeo","1","299","0.33%","8","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0766","MONITOR","P3"
"app para edicao de video","3","471","0.64%","6.3","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0765","MONITOR","P3"
"qual é o melhor app para editar videos","1","254","0.39%","4.9","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0764","MONITOR","P3"
"formato png foto","1","296","0.34%","6.92","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0762","MONITOR","P3"
"cores fotos","1","112","0.89%","2.1","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0759","MONITOR","P3"
"fotografo sp","1","64","1.56%","12.55","11-15","DINHEIRO","fotografo-generico","0.5","/fotografo-corporativo","URL_PROVAVEL","0.0758","CONTENT+INTERNAL LINK","P3"
"direito autorais de imagem","1","286","0.35%","6.9","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0.0756","MONITOR","P3"
"observamos em nossas aulas que uma fotografia envolve mais do que apenas um 
registro ou a cena de determinado momento. antes de realizar a captura de 
uma imagem, o fotógrafo realiza escolhas técnicas relacionadas ao tipo de 
luz, enquadramento, composição e até mesmo à edição. explique como as 
escolhas podem influenciar a interpretação de uma fotografia pelo 
observador.","1","293","0.34%","1","1-3","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.0754","INTERNAL LINK (blog->money)","P3"
"fotos para escritorio","1","4","0.25%","5.75","4-6","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.0753","CTR+TITLE/META","P3"
"aplicativo bom para editar vídeo","1","237","0.42%","5.13","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0.0751","MONITOR","P3"
